--- INICIO DEL PROCESO DE RENOMBRADO en epublibre ---
Archivo 'DeAlma, Sofia - La espia roja [81776] (r1.0).epub' renombrado y copiado a DONE como 'DeAlma, Sofía - La espía roja [81776] (r1.0).epub'
Archivo 'Deschanel, Hollie - Si Santa Claus nos viera [81867] (r1.0).epub' renombrado y copiado a DONE como 'Deschanel, Hollie - Si Santa Claus nos viera [81867] (r1.0).epub'
Archivo 'Diaz Cortes, Jorge - El espia [78603] (r1.0).epub' renombrado y copiado a DONE como 'Cortés, Jorge Díaz - El espía [78603] (r1.0).epub'
Archivo 'Diaz, Victor & Verdaguer, Neus - Desig sobre rodes [81702] (r1.0) [CA].epub' renombrado y copiado a DONE como 'Verdaguer, Víctor Díaz & Neus - Desig sobre rodes [81702] (r1.0) [CA].epub'
Archivo 'Diaz, Victor & Verdaguer, Neus - La noia de la platja [81701] (r1.0) [CA].epub' renombrado y copiado a DONE como 'Verdaguer, Víctor Díaz & Neus - La noia de la platja [81701] (r1.0) [CA].epub'
Archivo 'Dick, Philip K. - La Exegesis de Philip K. Dick [81615] (r1.0).epub' renombrado y copiado a DONE como 'Dick, Philip K. - La Exégesis de Philip K. Dick [81615] (r1.0).epub'
Archivo 'Dicker, Joel - La muy catastrofica visita al zoo [78248] (r1.0).epub' renombrado y copiado a DONE como 'Dicker, Joël - La muy catastrófica visita al zoo [78248] (r1.0).epub'
Archivo 'Djebar, Assia - Sombra sultana [81619] (r1.0).epub' renombrado y copiado a DONE como 'Djebar, Assia - Sombra sultana [81619] (r1.0).epub'
Archivo 'Dominguez, Inaki - Macarras interseculares [81893] (r1.0).epub' renombrado y copiado a DONE como 'Domínguez, Iñaki - Macarras interseculares [81893] (r1.0).epub'
Archivo 'Donlea, Charlie - El ADN te condena [79286] (r1.0).epub' renombrado y copiado a DONE como 'Donlea, Charlie - El ADN te condena [79286] (r1.0).epub'
Archivo 'Druart, Ruth - Mientras Paris dormia [81840] (r1.0).epub' renombrado y copiado a DONE como 'Druart, Ruth - Mientras París dormía [81840] (r1.0).epub'
Archivo 'Ducay, Paula - La ternura [81868] (r1.0).epub' renombrado y copiado a DONE como 'Ducay, Paula - La ternura [81868] (r1.0).epub'
